objectid,date,dead,serious.injuries,light.injuries,day.of.the.week,day/night,type.of.the.accident,cause.of.the.accident,alcohol.or.drugs,weather.conditions,place,vehicle.type,vehicle.characteristic,skid,total.damage.in.czk,x,y,lat,lng
1582,2020/06/07 00:00,0,0,0,Wed,Day,Collision with a non rail vehicle,The driver of the motor vehicle,No,Clear,None or none of listed,Bus,Private company,No,1000,1839196.2749686271,6312652.675525535,49.22222431100005,16.521781243000078
1583,2020/06/06 00:00,0,0,0,Tue,Day,Collision with a parked vehicle,The driver of the motor vehicle,No,Clear,Parking slot adjacent to the road,Truck,Private company,No,1000,1849770.96535621,6308669.602481151,49.198849542000055,16.61677530300005
1584,2020/06/06 00:00,0,1,0,Tue,Day,Collision with pedestrian,Pedestrian,No,Clear,"Bus, trolleybus, tram stop. islet",Passenger car without a trailer,Private company,No,30000,1858611.2170366475,6310473.675630229,49.20943816200002,16.696188635000055
1585,2020/06/06 00:00,0,0,0,Tue,Night,Collision with a parked vehicle,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,Police,No,10000,1850974.804163271,6309624.698081742,49.20445555300007,16.627589571000044
1586,2020/06/06 00:00,0,0,0,Tue,Night,Collision with a non rail vehicle,The driver of the motor vehicle,Under influence of alcohol,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,5000,1851106.3793486087,6312572.227159499,49.22175230700001,16.628771531000037
1587,2020/06/06 00:00,0,0,0,Tue,Night,Collision with a parked vehicle,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,Police,No,10000,1848902.2102389433,6308101.304772985,49.19551357100005,16.608971143000076
1588,2020/06/05 00:00,0,0,0,Mon,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,"Bus, trolleybus, tram stop. islet",Passenger car without a trailer,"Private, not used for business activity",No,90000,1851703.4158339992,6307298.689423485,49.19080174600003,16.634134801000073
1589,2020/06/05 00:00,0,0,1,Mon,Day,Collision with pedestrian,The driver of the motor vehicle,No,Clear,Parking slot adjacent to the road,Passenger car without a trailer,"State enterprise, state organization",No,0,1845236.95266378,6315304.456928227,49.237780232000034,16.576045574000034
1590,2020/06/05 00:00,0,0,0,Mon,Day,Collision with a fixed obstacle,The driver of the motor vehicle,No,Clear,"Exit from the car park, forest roads, etc.",Passenger car without a trailer,"Private, not used for business activity",No,1000,1843427.7041418757,6303549.250375667,49.16878438400004,16.55979281800006
1591,2020/06/05 00:00,0,0,0,Mon,Day,Collision with a parked vehicle,The driver of the motor vehicle,No,Clear,None or none of listed,Truck,Private company,No,150000,1853158.7587666083,6306067.501122619,49.18357307300004,16.647208369000055
1592,2020/06/05 00:00,0,0,0,Mon,Day,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,Truck,Private company,No,5000,1843625.37928237,6305888.675550724,49.182523047000075,16.561568564000027
1593,2020/06/05 00:00,0,0,2,Mon,Day,Collision with a non rail vehicle,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,20000,1844314.4028478665,6310894.0811171215,49.21190531600006,16.567758168000065
1594,2020/06/05 00:00,0,0,0,Mon,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1847364.0023018983,6311221.680660933,49.213827752000036,16.59515318600006
1595,2020/06/05 00:00,0,0,0,Mon,Day,Collision with a parked vehicle,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,10000,1846965.0248979344,6314036.129129886,49.23034055900007,16.591569111000066
1596,2020/06/05 00:00,0,0,2,Mon,Day,Collision with a non rail vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,Motorbike,"Private, not used for business activity",No,10000,1852603.0515346115,6309135.130533157,49.201582076000065,16.64221636600007
1597,2020/06/04 00:00,0,0,1,Sun,Night,Collision with a non rail vehicle,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,0,1837645.3685946248,6307398.507609257,49.19138776200003,16.507849214000032
1598,2020/06/04 00:00,0,0,0,Sun,Day,Collision with a parked vehicle,The driver of the motor vehicle,No,Clear,Parking slot adjacent to the road,Passenger car without a trailer,Private company,No,80000,1852009.734790008,6306438.499486749,49.185751426000074,16.636886511000057
1599,2020/06/04 00:00,0,0,1,Sun,Day,Crash,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",Yes,80000,1839486.8340903653,6308087.846549807,49.195434567000056,16.524391380000054
1600,2020/06/04 00:00,0,0,1,Sun,Day,Collision with a non rail vehicle,The driver of the motor vehicle,Under influence of drugs,Clear,"Exit from the car park, forest roads, etc.",Motorbike,"Private, not used for business activity",No,10000,1854733.4079182013,6307180.0224730875,49.190105063000026,16.66135368300007
1601,2020/06/04 00:00,0,0,0,Sun,Day,Other collisions,The driver of the motor vehicle,Not tested,Clear,Pedestrian crossing,"Not identified, the driver has fled",Not identified,No,0,1847153.1278980582,6313315.550913054,49.22611334000003,16.593258869000067
1602,2020/06/04 00:00,0,0,0,Sun,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,Passenger car without a trailer,Private company,No,3000,1850560.991767368,6314725.4306331705,49.234383957000034,16.623872231000064
1603,2020/06/04 00:00,0,0,1,Sun,Day,Other collisions,The driver of the motor vehicle,No,Clear,None or none of listed,Bus,Public transport,No,0,1844117.055877222,6311493.62217788,49.21542351600004,16.565985370000018
1604,2020/06/04 00:00,0,0,0,Sun,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1846580.4732754608,6312513.757514816,49.22140925300004,16.58811462500006
1605,2020/06/04 00:00,0,0,1,Sun,Day,Crash,Driver of a non-motorized vehicle,No,Clear,None or none of listed,Bicycle,"Private, not used for business activity",No,1000,1838898.1210746227,6309554.766077891,49.20404510300005,16.519102881000038
1606,2020/06/04 00:00,0,0,0,Sun,Day,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,Passenger car without a trailer,"Private, not used for business activity",No,2000,1851412.2182949749,6310765.673224841,49.21115176600004,16.631518929000038
1607,2020/06/03 00:00,0,0,0,Sat,Day,Collision with a fixed obstacle,The driver of the motor vehicle,No,Other dificult,Parking slot adjacent to the road,Passenger car without a trailer,Private company,No,20000,1846903.4652195228,6314022.493510303,49.230260570000034,16.591016111000044
1608,2020/06/03 00:00,0,0,0,Sat,Day,Collision with a non rail vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,0,1853680.0172916227,6307800.968045411,49.19375047000005,16.651890914000035
1609,2020/06/03 00:00,0,0,0,Sat,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1849707.8547746527,6308907.443235975,49.20024562700007,16.616208371000027
1610,2020/06/03 00:00,0,0,2,Sat,Day,Collision with a non rail vehicle,Driver of a non-motorized vehicle,No,Clear,Pedestrian crossing,Bicycle,"Private, not used for business activity",No,1000,1848402.793488576,6310162.416804549,49.20761145700004,16.604484806000073
1611,2020/06/03 00:00,0,0,0,Sat,Day,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,Passenger car without a trailer,"Private, not used for business activity",No,1000,1854151.9610595831,6300276.133281024,49.149556060000066,16.656130457000074
1612,2020/06/03 00:00,0,0,0,Sat,Day,Collision with a non rail vehicle,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,5000,1836133.740746359,6319049.826048747,49.25974303000003,16.494270030000052
1613,2020/06/02 00:00,0,0,0,Fri,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1846885.0763528368,6307248.614019426,49.190507759000056,16.590850921000026
1614,2020/06/02 00:00,0,0,1,Fri,Day,Collision with a parked vehicle,The driver of the motor vehicle,No,Clear,Parking slot adjacent to the road,Passenger car without a trailer,"Private, not used for business activity",No,50000,1847335.3885173474,6307996.251514078,49.194896872000065,16.594896144000074
1615,2020/06/02 00:00,0,0,1,Fri,Day,Crash,The driver of the motor vehicle,No,Clear,"Bridge, overpass, underpass, tunnel",Motorbike,"Private, not used for business activity",No,10000,1853370.5697013235,6313586.115565883,49.227700630000065,16.649111099000034
1616,2020/06/02 00:00,0,1,0,Fri,Day,Collision with a parked vehicle,The driver of the motor vehicle,No,Clear,None or none of listed,Passenger car without a trailer,"Private, not used for business activity",No,150000,1856701.3329120777,6304801.167057412,49.176136947000025,16.67903185400007
1617,2020/06/02 00:00,0,0,1,Fri,Day,Other collisions,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1846028.29286757,6311455.377879843,49.215199100000056,16.58315430400006
1618,2020/06/02 00:00,0,0,0,Fri,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1846930.0425253124,6313257.771386038,49.22577436500006,16.591254859000056
1619,2020/06/02 00:00,0,0,0,Fri,Day,Collision with a non rail vehicle,The driver of the motor vehicle,Not tested,Clear,Near the pedestrian crossing,"Not identified, the driver has fled",Not identified,No,0,1847783.573589021,6309945.011285994,49.20633551500003,16.598922259000062
1620,2020/06/02 00:00,0,0,0,Fri,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,None or none of listed,"Not identified, the driver has fled",Not identified,No,0,1850969.1047166637,6312104.369393849,49.21900721800006,16.627538372000057
1621,2020/06/02 00:00,0,0,1,Fri,Day,Collision with pedestrian,Pedestrian,No,Clear,Pedestrian crossing,Passenger car without a trailer,"Private, not used for business activity",No,10000,1852758.126932372,6312413.142251106,49.220818916000034,16.643609432000062
1622,2020/06/02 00:00,0,0,0,Fri,Day,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1857403.441861071,6305304.7056725565,49.17909394400004,16.68533900600005
1623,2020/06/02 00:00,0,0,0,Fri,Day,Collision with a non rail vehicle,The driver of the motor vehicle,No,Clear,Near the pedestrian crossing,Passenger car without a trailer,"Private, used for business activity",No,0,1840843.0865348454,6312593.563446727,49.22187749100004,16.536574803000065
1624,2020/06/02 00:00,0,0,0,Fri,Day,Collision with a non rail vehicle,The driver of the motor vehicle,No,Clear,Gas station,Passenger car without a trailer,"Private, not used for business activity",No,20000,1847799.705898305,6302426.477243649,49.162189358000035,16.59906717800004
1625,2020/06/02 00:00,0,0,0,Fri,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1851130.489369201,6314395.007911252,49.232445760000076,16.628988115000023
1626,2020/06/01 00:00,0,0,0,Thu,Day,Collision with a fixed obstacle,The driver of the motor vehicle,No,Clear,None or none of listed,Truck,Private company,No,0,1848713.6340196636,6308093.986252466,49.19547060900003,16.60727713400007
1627,2020/06/01 00:00,0,0,0,Thu,Day,Collision with a fixed obstacle,The driver of the motor vehicle,No,Clear,Pedestrian crossing,"Not identified, the driver has fled",Not identified,No,0,1848834.16686811,6310431.598646077,49.209191226000016,16.60835989900005
1628,2020/06/01 00:00,0,0,0,Thu,Day,Collision with a fixed obstacle,The driver of the motor vehicle,No,Clear,Near the pedestrian crossing,Passenger car without a trailer,Private company,No,10000,1849107.0059306643,6307226.2181784,49.19037627500007,16.61081085400002
1629,2020/06/01 00:00,0,0,0,Thu,Day,Collision with a fixed obstacle,The driver of the motor vehicle,No,Clear,Pedestrian crossing,Truck,"Private, not used for business activity",No,0,1851440.7531540126,6308721.50493732,49.19915420400008,16.631775262000076
1630,2020/06/01 00:00,0,0,1,Thu,Day,Crash,The driver of the motor vehicle,No,Clear,Near the pedestrian crossing,Motorbike,The Municipal Police,No,20000,1858288.153736787,6310040.70029258,49.20689711300007,16.693286508000025
1631,2020/06/01 00:00,0,0,1,Thu,Day,Collision with a fixed obstacle,The driver of the motor vehicle,No,Clear,None or none of listed,Small motorbike,"Private, not used for business activity",No,30000,1846275.5469262789,6311865.930160008,49.21760815100003,16.585375425000052
1632,2020/06/01 00:00,0,0,1,Thu,Day,Collision with a non rail vehicle,The driver of the motor vehicle,No,Clear,"Bridge, overpass, underpass, tunnel",Passenger car without a trailer,"Private, not used for business activity",No,120000,1852063.67720962,6308202.211979912,49.196105924000044,16.63737108400005
1633,2020/06/01 00:00,0,0,0,Thu,Night,Collision with a parked vehicle,The driver of the motor vehicle,Not tested,Clear,Parking slot adjacent to the road,"Not identified, the driver has fled",Not identified,No,0,1842737.3096768507,6306828.886023634,49.188043515000054,16.553590899000024
